shapeID,label,comment,target,targetType,Closed,mandatory,severity,Note
AcademicAwardShape,Academic Award,,pesc:AcademicAward,class,,,,
AcademicProgramShape,Academic Program,,pesc:AcademicProgram,class,,,,
AcademicDegreeRequirementShape,Academic Degree Requirement,,pesc:AcademicDegreeRequirement,class,,,,
AcademicHonorsShape,Academic Honors,,pesc:AcademicHonors,class,,,,
AcademicProgramShape,Academic Program,,pesc:_AcademicProgram,objectsof,,,,
AcademicRecordShape,Academic Record,,pesc:AcademicRecord,class,,,,
AcademicSessionShape,Academic Session,,pesc:AcademicSession,class,,,,
AcademicSummaryShape,Academic Summary,,pesc:AcademicSummary,class,,,,
AccreditationShape,Accreditation,,pesc:Accreditation,class,,,,
PostalAddressShape,Postal Address,,pesc:PostalAddress,class,,,,
AgencyIdentifierShape,Agency Identifier,,pesc:AgencyIdentifier,class,,,,
CollegeTranscriptShape,College Transcript,,pesc:CollegeTranscript,class,,,,
ConceptShape,SKOS Concept,,skos:Concept,class,,,,
ContactShape,Contact,,pesc:contact,objectsof,,,,
CourseAchievementShape,Course Achievement,,pesc:CourseAchievement,class,,,,
CourseShape,Course,,pesc:Course,class,,,,
CourseRepeatCodeShape,Course Repeat Code,,pesc:CourseRepeatCode,class,,,,
CourseSupplementalGradeShape,Course Supplemental Grade,,pesc:CourseSupplementalGrade,class,,,,
FAXPhoneShape,FAX Phone,,pesc:FAXPhone,class,,,,
GPAShape,GPA,,pesc:GPA,class,,,,
ImmunizationsShape,Immunizations,,pesc:Immunizations,class,,,,
LanguageShape,Language,,pesc:Language,class,,,,
LanguageOfInstructionShape,Language Of Instruction,,pesc:LanguageOfInstruction,class,,,,
LicensureShape,Licensure,,pesc:Licensure,class,,,,
LocalOrganizationIDShape,Local Organization ID,,pesc:LocalOrganizationID,class,,,,
NameShape,Name,,pesc:Name,class,,,,
OrganizationShape,Organization,,pesc:Organization,class,,,,
PhoneShape,Phone,,pesc:Phone,class,,,,
ProgramSummaryShape,Program Summary,,pesc:ProgramSummary,class,,,,
ResidencyShape,Residency,,pesc:Residency,class,,,,
StudentShape,Student,,pesc:student,objectsof,,,,
TestShape,Tests,,pesc:Tests,class,,,,
TestScoreShape,Test Scores,,pesc:TestScores,class,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TBDShape,To Be Done,To Be Done,pesc:TBD,class,,,,
AdditionalStudentAchievmentShape,To Be Done,,pesc:additionalStudentAchievment,objectsof,,,,
RAPShape,"Requirement, Attribute or Proficiency",,pesc:RequirementAttributeProficiency,class,,,,
AcademicAchievementShape,Academic Achievement ,,pesc:achievement,objectsof,,,,
AcademicAchievementShape,Academic Achievement ,,pesc:hasPart,objectsof,,,,
VerifiableCredentialShape,W3C Verifiable Credential,,pesc:verifiableCredential,objectsof,,,,